Rank,Release Group,Worldwide,Domestic,%,Foreign,%
74,Karnan,"$3,817,585",-,-,"$3,817,585",100%
75,77 Heartwarmings,"$3,800,000",-,-,"$3,800,000",100%
76,Wrong Turn,"$3,774,082","$1,251,184",33.2%,"$2,522,898",66.8%
77,The Mauritanian,"$3,628,817","$836,536",23.1%,"$2,792,281",76.9%
78,Girls und Panzer das Finale: Part III,"$3,578,578",-,-,"$3,578,578",100%
79,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
80,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
81,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
82,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
83,F9,"$3,400,000",-,-,"$3,400,000",100%
84,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
85,The Girl Who Believes in Miracles,"$3,070,325","$3,070,325",100%,-,-
86,Land,"$2,845,611","$2,577,830",90.6%,"$267,781",9.4%
87,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
88,High Ground,"$2,422,865",-,-,"$2,422,865",100%
89,Roohi,"$2,306,525",-,-,"$2,306,525",100%
90,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
91,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
92,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
93,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
94,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
95,Here Today,"$2,076,479","$2,076,479",100%,-,-
96,Recalled,"$1,950,100",-,-,"$1,950,100",100%
97,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
98,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
99,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
100,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
101,French Exit,"$1,515,046","$693,703",45.8%,"$821,343",54.2%
102,Boss Level,"$1,481,124",-,-,"$1,481,124",100%
103,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
104,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
105,Endless Rain,"$1,402,785","$6,708",0.5%,"$1,396,077",99.5%
106,Together Together,"$1,373,975","$1,373,975",100%,-,-
107,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
108,Finding You,"$1,332,553","$1,161,538",87.2%,"$171,015",12.8%
109,I Care a Lot,"$1,279,918",-,-,"$1,279,918",100%
110,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
111,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
112,Extinct,"$1,173,216",-,-,"$1,173,216",100%
113,Ainbo,"$1,155,793",-,-,"$1,155,793",100%
114,Cousins,"$1,134,658",-,-,"$1,134,658",100%
115,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
116,Crisis,"$1,121,707","$404,738",36.1%,"$716,969",63.9%
117,In the Earth,"$1,113,723","$1,113,723",100%,-,-
118,V2. Escape from Hell,"$1,100,000",-,-,"$1,100,000",100%
119,Super Me,"$1,100,000",-,-,"$1,100,000",100%
120,June Again,"$1,093,339",-,-,"$1,093,339",100%
121,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
122,El Exorcismo de Carmen Farías,"$1,082,284",-,-,"$1,082,284",100%
123,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
124,Supernova,"$1,056,917","$234,220",22.2%,"$822,697",77.8%
125,In the Mood for Love 2020 Re-release,"$1,051,048",-,-,"$1,051,048",100%
126,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
127,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
128,Long Weekend,"$1,018,532","$1,018,532",100%,-,-
129,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
130,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
131,Zoya,"$944,885",-,-,"$944,885",100%
132,Profile,"$939,080","$939,080",100%,-,-
133,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$933,488",-,-,"$933,488",100%
134,The Box,"$849,249",-,-,"$849,249",100%
135,Four Good Days,"$772,669","$772,669",100%,-,-
136,The Vault,"$769,502",-,-,"$769,502",100%
137,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
138,Maya the Bee 3: The Golden Orb,"$731,527",-,-,"$731,527",100%
139,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
140,The Truffle Hunters,"$726,662","$275,222",37.9%,"$451,440",62.1%
141,Long Story Short,"$676,687",-,-,"$676,687",100%
142,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
143,Our Friend,"$663,725","$663,725",100%,-,-
144,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
145,Music,"$645,949",-,-,"$645,949",100%
146,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
147,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
148,Girls Can't Surf,"$520,916",-,-,"$520,916",100%
149,Dark Spell,"$515,596",-,-,"$515,596",100%
150,Twist,"$509,870",-,-,"$509,870",100%
151,Riders of Justice,"$473,687","$15,441",3.3%,"$458,246",96.7%
152,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
153,2021 Oscar Nominated Short Films: Live Action,"$443,050","$443,050",100%,-,-
154,Gekijouban Bang Dream! Episode of Roselia: Promise,"$439,068",-,-,"$439,068",100%
155,Willy's Wonderland,"$427,203","$418,286",97.9%,"$8,917",2.1%
156,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
157,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
158,Earwig and the Witch,"$412,232","$173,704",42.1%,"$238,528",57.9%
